,Recon Loss,Learning Rate,DetEval,batch size,hidden size,latent size,fixed variance,dropout rate,L2 weight,noise layer std,optimizer,nonlinearity,residual user info,RMSE
118,MSE,5e-06,True,128.0,1024.0,1024.0,0.0,0.5,0.0,0.0,RMSProp,Tanh,False,1.0823421478271484
119,Likelihood,0.0001,True,128.0,4096.0,512.0,0.1,0.3,0.0001,0.1,Adam,Sigmoid,False,1.1930965185165403
120,MSE,5e-05,True,32.0,4096.0,1024.0,0.1,0.3,0.0001,0.5,Adam,LeakyRelu,False,1.200902819633484
121,Likelihood,5e-05,True,128.0,4096.0,1024.0,0.0,0.5,0.0,0.0,Adagrad,Relu,False,1.4654995203018188
122,MSE,5e-05,True,64.0,4096.0,1024.0,0.1,0.0,0.0,0.1,Adagrad,LeakyRelu,True,1.250843167304993
123,MSE,0.0001,False,128.0,1024.0,512.0,0.5,0.1,0.001,0.0,Adam,Tanh,True,0.7343604564666748
124,Likelihood,1e-05,False,32.0,4096.0,2048.0,0.0,0.0,0.0,0.0,RMSProp,Tanh,False,0.5996424555778503
125,MSE,5e-05,True,64.0,1024.0,1024.0,0.1,0.1,0.0,0.5,Adagrad,LeakyRelu,True,1.4150540828704834
126,MSE,5e-06,False,128.0,4096.0,512.0,0.3,0.5,0.0,0.1,RMSProp,Relu,True,1.2520711421966553
127,MSE,0.0001,True,128.0,1024.0,2048.0,0.5,0.0,0.0,0.3,Adagrad,Tanh,True,1.3210023641586304
128,Likelihood,5e-05,True,128.0,1024.0,512.0,0.3,0.1,0.0,0.1,Adagrad,LeakyRelu,True,1.4767515659332275
129,MSE,5e-05,True,64.0,4096.0,2048.0,0.1,0.3,0.001,0.3,Adam,Tanh,True,0.8826444745063782
130,Likelihood,5e-06,False,32.0,2048.0,2048.0,0.1,0.5,0.0,0.3,RMSProp,Tanh,False,1.2076932191848757
131,MSE,0.0001,True,32.0,2048.0,512.0,0.5,0.0,0.0,0.3,Adagrad,Relu,True,1.2349212169647217
132,Likelihood,0.0001,False,128.0,2048.0,2048.0,0.1,0.1,0.0001,0.0,Adam,Relu,True,1.1550374031066897
133,Likelihood,5e-06,True,32.0,2048.0,1024.0,0.5,0.0,0.0,0.5,RMSProp,Tanh,True,1.1821701526641846
134,MSE,1e-05,False,64.0,1024.0,2048.0,0.5,0.0,0.0,0.5,RMSProp,LeakyRelu,False,1.1598442792892456
